Full Journal Title	Abbre1（Endnote来源）	Abbre2（Endnote来源）	Abbre3（Endnote来源）
EUROPEAN JOURNAL OF PHARMACEUTICS AND BIOPHARMACEUTICS	Eur. J. Pharm. Biopharm.	Eur J Pharm Biopharm	"Eur J Pharm Biopharm,4.708"
JOURNAL OF PEASANT STUDIES	#N/A	J Peasant Stud	"J Peasant Stud,4.754"
BASIN RESEARCH	#N/A	Basin Res	"Basin Res,3.542"
CLIMATE DYNAMICS	#N/A	Clim Dynam	"Clim Dynam,4.048"
JOURNAL OF NUTRITION	J. Nutr.	J Nutr	"J Nutr,4.416"
Annual Review of Virology	#N/A	Annual Review Of Virology	"Annual Review Of Virology,6.566"
Oncogenesis	#N/A	Oncogenesis	"Oncogenesis,5.995"
AMERICAN JOURNAL OF PHYSIOLOGY-ENDOCRINOLOGY AND METABOLISM	#N/A	Amer J Physiol-Endocrinol Met	"Amer J Physiol-Endocrinol Met,4.125"
CANCER EPIDEMIOLOGY BIOMARKERS & PREVENTION	#N/A	Cancer Epidem Biomarker Prev	"Cancer Epidem Biomarker Prev,5.057"
MEDICINE AND SCIENCE IN SPORTS AND EXERCISE	Med. Sci. Sports Exerc.	Med Sci Sports Exerc	"Med Sci Sports Exerc,4.478"
BONE	Bone	Bone	"Bone,4.360"
ENERGY POLICY	Energy Policy	Energy Policy	"Energy Policy,4.880"
ENERGY POLICY	Energy Policy	Energy Policy	"Energy Policy,4.880"
ChemElectroChem	#N/A	Chemelectrochem	"Chemelectrochem,3.975"
Frontiers in Physiology	Front. Physiol.	Front Physiol	"Front Physiol,3.201"
Journal of Behavioral Addictions	#N/A	Journal Of Behavioral Addictions	"Journal Of Behavioral Addictions,4.873"
Journal of Behavioral Addictions	#N/A	Journal Of Behavioral Addictions	"Journal Of Behavioral Addictions,4.873"
JOURNAL OF ABNORMAL PSYCHOLOGY	J. Abnorm. Psychol.	J Abnorm Psychol	"J Abnorm Psychol,5.519"
TRAFFIC	#N/A	Traffic	"Traffic,3.951"
Science China-Chemistry	#N/A	Science China-Chemistry	"Science China-Chemistry,6.085"
THEORETICAL AND APPLIED GENETICS	Theor. Appl. Genet.	Theor Appl Genet	"Theor Appl Genet,3.926"
JOURNAL OF APPLIED PSYCHOLOGY	J. Appl. Psychol.	J Appl Psychol	"J Appl Psychol,5.067"
AQUATIC TOXICOLOGY	Aquat. Toxicol.	Aquat Toxicol	"Aquat Toxicol,3.794"
JOURNAL OF BIOLOGICAL CHEMISTRY	J. Biol. Chem.	J Biol Chem	"J Biol Chem,4.106"
JOURNAL OF INDUSTRIAL ECOLOGY	#N/A	J Ind Ecol	"J Ind Ecol,4.826"
PHYSICAL CHEMISTRY CHEMICAL PHYSICS	Phys. Chem. Chem. Phys.	Phys Chem Chem Phys	"Phys Chem Chem Phys,3.567"
INFORMATION SYSTEMS JOURNAL	#N/A	Inform Syst J	"Inform Syst J,3.286"
JOURNAL OF VIRAL HEPATITIS	J. Viral Hepatitis	J Viral Hepat	"J Viral Hepat,4.016"
ARTHRITIS RESEARCH & THERAPY	Arthrit. Res. Ther.	Arthritis Res Ther	"Arthritis Res Ther,4.148"
LIVER INTERNATIONAL	#N/A	Liver Int	"Liver Int,5.542"
MECHANICAL SYSTEMS AND SIGNAL PROCESSING	#N/A	Mech Syst Signal Process	"Mech Syst Signal Process,5.005"
Journal of Computer-Mediated Communication	#N/A	J Comput-Mediat Commun	"J Comput-Mediat Commun,4.896"
CELL PROLIFERATION	Cell Prolif.	Cell Prolif	"Cell Prolif,5.039"
Chinese Journal of Cancer	Chin. J. Cancer	Chin J Cancer	"Chin J Cancer,3.620"
NEUROREHABILITATION AND NEURAL REPAIR	Neurorehab. Neural Repair	Neurorehabil Neural Repair	"Neurorehabil Neural Repair,3.757"
Agronomy for Sustainable Development	#N/A	Agron Sustain Dev	"Agron Sustain Dev,4.263"
DIABETES & METABOLISM	#N/A	Diabetes Metab	"Diabetes Metab,4.008"
EUROPEAN JOURNAL OF ENDOCRINOLOGY	#N/A	Eur J Endocrinology	"Eur J Endocrinology,5.107"
AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY	Am. J. Respir. Cell Mol. Biol.	Am J Respir Cell Mol Biol	"Am J Respir Cell Mol Biol,4.340"
AGRICULTURE ECOSYSTEMS & ENVIRONMENT	#N/A	Agr Ecosyst Environ	"Agr Ecosyst Environ,3.954"
AMERICAN JOURNAL OF SCIENCE	Am. J. Sci.	Am J Sci	"Am J Sci,2.982"
Acta Crystallographica Section C-Structural Chemistry	#N/A	Acta Crystallographica Section C-Structural Chemistry	"Acta Crystallographica Section C-Structural Chemistry,0.930"
Briefings in Functional Genomics	#N/A	Briefings In Functional Genomics	"Briefings In Functional Genomics,3.133"
DRUG METABOLISM REVIEWS	Drug Metab. Rev.	Drug Metab Rev	"Drug Metab Rev,4.702"
CURRENT OPINION IN LIPIDOLOGY	Curr. Opin. Lipidol.	Curr Opin Lipidol	"Curr Opin Lipidol,4.844"
PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF AUSTRALIA	#N/A	Publ Astron Soc Australia	"Publ Astron Soc Australia,4.878"
GOVERNMENT INFORMATION QUARTERLY	#N/A	Govt Inform Quart	"Govt Inform Quart,4.311"
ACM TRANSACTIONS ON GRAPHICS	#N/A	Acm Trans Graphic	"Acm Trans Graphic,6.495"
PROGRESS IN SOLID STATE CHEMISTRY	#N/A	Prog Solid State Chem	"Prog Solid State Chem,6.077"
JOURNAL OF HYPERTENSION	J. Hypertens.	J Hypertens	"J Hypertens,4.209"
Chemistry-An Asian Journal	#N/A	Chemistry-An Asian Journal	"Chemistry-An Asian Journal,3.698"
JOURNAL OF NEUROCHEMISTRY	J. Neurochem.	J Neurochem	"J Neurochem,4.870"
Journal of Physiotherapy	J. Physiother.	J Physiother	"J Physiother,5.551"
Journal of Ginseng Research	#N/A	Journal Of Ginseng Research	"Journal Of Ginseng Research,4.029"
TOXICOLOGICAL SCIENCES	Toxicol. Sci.	Toxicol Sci	"Toxicol Sci,3.564"
JOURNAL OF CELLULAR PHYSIOLOGY	J. Cell. Physiol.	J Cell Physiol	"J Cell Physiol,4.522"
Annual Review of Nuclear and Particle Science	#N/A	Annu Rev Nucl Par Sci	"Annu Rev Nucl Par Sci,7.700"
Frontiers in Microbiology	Front. Microbiol.	Front Microbiol	"Front Microbiol,4.259"
COMPOSITES PART A-APPLIED SCIENCE AND MANUFACTURING	#N/A	Compos Part A-Appl Sci Manuf	"Compos Part A-Appl Sci Manuf,6.282"
Ecosystem Services	#N/A	Ecosystem Services	"Ecosystem Services,5.572"
Ecosystem Services	#N/A	Ecosystem Services	"Ecosystem Services,5.572"
PERIODONTOLOGY 2000	Periodontol. 2000	Periodontol 2000	"Periodontol 2000,7.861"
SUPPLY CHAIN MANAGEMENT-AN INTERNATIONAL JOURNAL	#N/A	Supply Chain Manag	"Supply Chain Manag,4.296"
SCANDINAVIAN JOURNAL OF WORK ENVIRONMENT & HEALTH	#N/A	Scand J Work Environ Health	"Scand J Work Environ Health,3.491"
SCANDINAVIAN JOURNAL OF WORK ENVIRONMENT & HEALTH	#N/A	Scand J Work Environ Health	"Scand J Work Environ Health,3.491"
DENTAL MATERIALS	Dent. Mater.	Dent Mater	"Dent Mater,4.440"
ENERGY AND BUILDINGS	#N/A	Energ Bldg	"Energ Bldg,4.495"
IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY	#N/A	Ieee Trans Veh Technol	"Ieee Trans Veh Technol,5.339"
BEHAVIOUR RESEARCH AND THERAPY	Behav. Res. Ther.	Behav Res Ther	"Behav Res Ther,4.309"
EUROPEAN JOURNAL OF VASCULAR AND ENDOVASCULAR SURGERY	Eur. J. Vasc. Endovasc. Surg.	Eur J Vasc Endovasc Surg	"Eur J Vasc Endovasc Surg,3.642"
GPS SOLUTIONS	#N/A	Gps Solut	"Gps Solut,3.049"
JOURNAL OF NEUROSURGERY	J. Neurosurg.	J Neurosurg	"J Neurosurg,4.130"
IEEE TRANSACTIONS ON COMMUNICATIONS	#N/A	Ieee Trans Commun	"Ieee Trans Commun,5.690"
RUSSIAN CHEMICAL REVIEWS	#N/A	Russian Chemical Reviews	"Russian Chemical Reviews,4.612"
AMERICAN JOURNAL OF PATHOLOGY	Am. J. Pathol.	Am J Pathol	"Am J Pathol,3.762"
CRYSTAL GROWTH & DESIGN	#N/A	Cryst Growth Des	"Cryst Growth Des,4.153"
BUILDING AND ENVIRONMENT	Build. Environ.	Build Environ	"Build Environ,4.820"
Journal of Genetics and Genomics	#N/A	Journal Of Genetics And Genomics	"Journal Of Genetics And Genomics,4.650"
Current Opinion in HIV and AIDS	Curr. Opin. HIV AIDS	Curr Opin HIV AIDS	"Curr Opin HIV AIDS,4.268"
JOURNAL OF HUMAN RESOURCES	J. Hum. Resour.	J Hum Resour	"J Hum Resour,3.857"
SEMINARS IN HEMATOLOGY	Semin. Hematol.	Semin Hematol	"Semin Hematol,3.738"
ANNALS OF BOTANY	Ann. Bot.	Ann Bot	"Ann Bot,3.454"
ANNALS OF SURGICAL ONCOLOGY	Ann. Surg. Oncol.	Ann Surg Oncol	"Ann Surg Oncol,3.681"
PROTEOMICS	Proteomics	Proteomics	"Proteomics,3.106"
Current HIV/AIDS Reports	Curr. HIV/AIDS Rep.	Curr HIV/AIDS Rep	"Curr HIV/AIDS Rep,4.382"
Elements	#N/A	Elements	"Elements,4.224"
AUSTRALIAN AND NEW ZEALAND JOURNAL OF PSYCHIATRY	Aust. N. Z. J. Psychiatry	Aust N Z J Psychiatry	"Aust N Z J Psychiatry,5.000"
AUSTRALIAN AND NEW ZEALAND JOURNAL OF PSYCHIATRY	Aust. N. Z. J. Psychiatry	Aust N Z J Psychiatry	"Aust N Z J Psychiatry,5.000"
GEODERMA	#N/A	Geoderma	"Geoderma,4.336"
IEEE Transactions on Robotics	#N/A	Ieee Trans Robot	"Ieee Trans Robot,6.483"
Inorganic Chemistry Frontiers	#N/A	Inorganic Chemistry Frontiers	"Inorganic Chemistry Frontiers,5.934"
INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT	#N/A	International Journal Of Project Management	"International Journal Of Project Management,4.694"
Topics in Current Chemistry	Top. Curr. Chem.	Top Curr Chem	"Top Curr Chem,6.721"
EXPERT OPINION ON INVESTIGATIONAL DRUGS	#N/A	Expert Opin Investig Drugs	"Expert Opin Investig Drugs,4.031"
OIKOS	Oikos	Oikos	"Oikos,3.468"
REVIEW OF ECONOMIC STUDIES	Rev. Econ. Stud.	Rev Econ Stud	"Rev Econ Stud,4.767"
TEXAS LAW REVIEW	#N/A	Tex Law Rev	"Tex Law Rev,2.528"
WASTE MANAGEMENT	Waste Manage.	Waste Manage	"Waste Manage,5.431"
DALTON TRANSACTIONS	#N/A	Dalton Trans	"Dalton Trans,4.052"
OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE	#N/A	Omega-Int J Manage Sci	"Omega-Int J Manage Sci,5.341"
OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE	#N/A	Omega-Int J Manage Sci	"Omega-Int J Manage Sci,5.341"
COMMUNICATIONS OF THE ACM	#N/A	Commun Acm	"Commun Acm,5.410"
AMERICAN ECONOMIC REVIEW	Am. Econ. Rev.	Am Econ Rev	"Am Econ Rev,4.097"
WORLD POLITICS	#N/A	World Polit	"World Polit,3.368"
CURRENT OPINION IN CLINICAL NUTRITION AND METABOLIC CARE	Curr. Opin. Clin. Nutr. Metab. Care	Curr Opin Clin Nutr Metab Care	"Curr Opin Clin Nutr Metab Care,3.570"
BIOLOGICAL CONSERVATION	Biol. Conserv.	Biol Conserv	"Biol Conserv,4.451"
AMERICAN JOURNAL OF PREVENTIVE MEDICINE	Am. J. Prev. Med.	Am J Prev Med	"Am J Prev Med,4.435"
CURRENT OPINION IN PSYCHIATRY	#N/A	Curr Opin Psychiatry	"Curr Opin Psychiatry,4.483"
CURRENT OPINION IN PSYCHIATRY	#N/A	Curr Opin Psychiatry	"Curr Opin Psychiatry,4.483"
JOURNAL OF LEUKOCYTE BIOLOGY	J. Leukocyte Biol.	J Leukoc Biol	"J Leukoc Biol,4.012"
SOLAR ENERGY	#N/A	Solar Energ	"Solar Energ,4.674"
ANESTHESIA AND ANALGESIA	Anesth. Analg.	Anesth Analg	"Anesth Analg,3.489"
JOURNAL OF ENVIRONMENTAL MANAGEMENT	J. Environ. Manage.	J Environ Manage	"J Environ Manage,4.865"
MEDICAL EDUCATION	Med. Educ.	Med Educ	"Med Educ,4.619"
CRITICAL REVIEWS IN ANALYTICAL CHEMISTRY	Crit. Rev. Anal. Chem.	Crit Rev Anal Chem	"Crit Rev Anal Chem,4.325"
Current Topics in Developmental Biology	Curr. Top. Dev. Biol.	Curr Top Dev Biol	#N/A
JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART C-ENVIRONMENTAL CARCINOGENESIS & ECOTOXICOLOGY REVIEWS	#N/A	Journal Of Environmental Science And Health Part C-Environmental Carcinogenesis & Ecotoxicology Reviews	"Journal Of Environmental Science And Health Part C-Environmental Carcinogenesis & Ecotoxicology Reviews,3.517"
Journal of Anthropological Sciences	#N/A	Journal Of Anthropological Sciences	"Journal Of Anthropological Sciences,2.731"
Science Bulletin	#N/A	Science Bulletin	"Science Bulletin,6.277"
Stem Cells Translational Medicine	#N/A	Stem Cells Translational Medicine	"Stem Cells Translational Medicine,5.962"
Future Generation Computer Systems-The International Journal of eScience	#N/A	Future Generation Computer Systems-The International Journal Of Escience	"Future Generation Computer Systems-The International Journal Of Escience,5.768"
INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE	#N/A	Int J Mach Tool Manuf	"Int J Mach Tool Manuf,6.039"
Algal Research-Biomass Biofuels and Bioproducts	#N/A	Algal Research-Biomass Biofuels And Bioproducts	"Algal Research-Biomass Biofuels And Bioproducts,3.723"
Frontiers in Chemistry	#N/A	Frontiers In Chemistry	"Frontiers In Chemistry,3.782"
MOLECULAR ENDOCRINOLOGY	Mol. Endocrinol.	Mol Endocrinol	"Mol Endocrinol,3.628"
CLINICAL IMMUNOLOGY	Clin. Immunol.	Clin Immunol	"Clin Immunol,3.548"
Journal of Tissue Engineering and Regenerative Medicine	J. Tissue Eng. Regen. Med.	J Tissue Eng Regen Med	"J Tissue Eng Regen Med,3.319"
EUROPEAN JOURNAL OF NEUROLOGY	Eur. J. Neurol.	Eur J Neurol	"Eur J Neurol,4.387"
SCHIZOPHRENIA RESEARCH	Schizophr. Res.	Schizophr Res	"Schizophr Res,4.569"
SCHIZOPHRENIA RESEARCH	Schizophr. Res.	Schizophr Res	"Schizophr Res,4.569"
Brain Imaging and Behavior	#N/A	Brain Imaging And Behavior	"Brain Imaging And Behavior,3.418"
Cancer Prevention Research	#N/A	Cancer Prevention Research	"Cancer Prevention Research,3.866"
LEARNING AND INSTRUCTION	#N/A	Learn Instr	"Learn Instr,3.917"
JOURNAL OF CHROMATOGRAPHY A	J. Chromatogr.	J Chromatogr A	"J Chromatogr A,3.858"
Genome Biology and Evolution	Genome Biol. Evol.	Genome Biol Evol	"Genome Biol Evol,3.726"
Dialogues in Clinical Neuroscience	Dialogues Clin. Neurosci.	Dialogues Clin Neurosci	"Dialogues Clin Neurosci,4.867"
Metallomics	#N/A	Metallomics	"Metallomics,3.571"
CANCER SCIENCE	Cancer Sci.	Cancer Sci	"Cancer Sci,4.751"
JOURNAL OF ADOLESCENT HEALTH	J. Adolesc. Health	J Adolesc Health	"J Adolesc Health,3.957"
JOURNAL OF ADOLESCENT HEALTH	J. Adolesc. Health	J Adolesc Health	"J Adolesc Health,3.957"
IEEE JOURNAL OF SELECTED TOPICS IN QUANTUM ELECTRONICS	#N/A	Ieee J Sel Top Quantum Electr	"Ieee J Sel Top Quantum Electr,4.681"
JOURNAL OF INHERITED METABOLIC DISEASE	J. Inherited Metab. Dis.	J Inherit Metab Dis	"J Inherit Metab Dis,4.287"
Cold Spring Harbor Perspectives in Medicine	Cold Spring Harb. Perspect. Med.	Cold Spring Harb Perspect Med	"Cold Spring Harb Perspect Med,5.564"
EUROPEAN RADIOLOGY	Eur. Radiol.	Eur Radiol	"Eur Radiol,3.962"
BMC PLANT BIOLOGY	BMC Plant Biol.	BMC Plant Biol	"BMC Plant Biol,3.670"
Nonlinear Analysis-Hybrid Systems	#N/A	Nonlinear Analysis-Hybrid Systems	"Nonlinear Analysis-Hybrid Systems,5.266"
ONCOLOGY-NEW YORK	#N/A	Oncology-Ny	"Oncology-Ny,3.008"
JOURNAL OF MANAGEMENT STUDIES	#N/A	J Manage Stud-Oxford	"J Manage Stud-Oxford,5.839"
Journal of Integrative Plant Biology	J. Integr. Plant Biol.	J Integr Plant Biol	"J Integr Plant Biol,3.824"
HEREDITY	Heredity	Heredity (Edinb)	"Heredity (Edinb),3.179"
XENOTRANSPLANTATION	Xenotransplantation	Xenotransplantation	"Xenotransplantation,3.484"
Science China-Materials	#N/A	Science China-Materials	"Science China-Materials,5.636"
Current Opinion in Environmental Sustainability	#N/A	Current Opinion In Environmental Sustainability	"Current Opinion In Environmental Sustainability,4.258"
STATISTICAL METHODS IN MEDICAL RESEARCH	Stat. Methods Med. Res.	Stat Methods Med Res	"Stat Methods Med Res,2.388"
COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING	#N/A	Comput Method Appl Mech Eng	"Comput Method Appl Mech Eng,4.821"
OBESITY SURGERY	Obes. Surg.	Obes Surg	"Obes Surg,3.603"
HIPPOCAMPUS	Hippocampus	Hippocampus	"Hippocampus,3.267"
BELL LABS TECHNICAL JOURNAL	#N/A	Bell Labs Tech J	"Bell Labs Tech J,4.000"
Cell Communication and Signaling	#N/A	Cell Communication And Signaling	"Cell Communication And Signaling,5.111"
IEEE TRANSACTIONS ON MEDICAL IMAGING	IEEE Trans. Med. Imaging	IEEE Trans Med Imaging	"IEEE Trans Med Imaging,7.816"
Journal of Innate Immunity	J. Innate Immun.	J Innate Immun	"J Innate Immun,4.085"
CELLULAR SIGNALLING	Cell. Signal.	Cell Signal	"Cell Signal,3.388"
Social Cognitive and Affective Neuroscience	Soc. Cogn. Affect. Neurosci.	Soc Cogn Affect Neurosci	"Soc Cogn Affect Neurosci,3.662"
Social Cognitive and Affective Neuroscience	Soc. Cogn. Affect. Neurosci.	Soc Cogn Affect Neurosci	"Soc Cogn Affect Neurosci,3.662"
COMPUTER PHYSICS COMMUNICATIONS	#N/A	Comput Phys Commun	"Comput Phys Commun,3.309"
JAIDS-JOURNAL OF ACQUIRED IMMUNE DEFICIENCY SYNDROMES	#N/A	Jaids-Journal Of Acquired Immune Deficiency Syndromes	"Jaids-Journal Of Acquired Immune Deficiency Syndromes,3.863"
JOURNAL OF HUMAN EVOLUTION	J. Hum. Evol.	J Hum Evol	"J Hum Evol,3.155"
JOURNAL OF HUMAN EVOLUTION	J. Hum. Evol.	J Hum Evol	"J Hum Evol,3.155"
SYSTEMATIC AND APPLIED MICROBIOLOGY	Syst. Appl. Microbiol.	Syst Appl Microbiol	"Syst Appl Microbiol,2.808"
CBE-Life Sciences Education	#N/A	Cbe-Life Sciences Education	"Cbe-Life Sciences Education,2.380"
International Journal of Applied Earth Observation and Geoinformation	#N/A	Int J Appl Earth Obs Geoinf	"Int J Appl Earth Obs Geoinf,4.846"
International Journal of Oral Science	#N/A	International Journal Of Oral Science	"International Journal Of Oral Science,2.750"
JOURNAL OF NUCLEAR CARDIOLOGY	J. Nucl. Cardiol.	J Nucl Cardiol	"J Nucl Cardiol,4.112"
Pregnancy Hypertension-An International Journal of Womens Cardiovascular Health	#N/A	Pregnancy Hypertension-An International Journal Of Womens Cardiovascular Health	"Pregnancy Hypertension-An International Journal Of Womens Cardiovascular Health,1.992"
Reviews of Environmental Contamination and Toxicology	Rev. Environ. Contam. Toxicol.	Rev Environ Contam Toxicol	"Rev Environ Contam Toxicol,5.462"
EXPERT SYSTEMS WITH APPLICATIONS	#N/A	Expert Syst Appl	"Expert Syst Appl,4.292"
JOURNAL OF NEUROSURGICAL ANESTHESIOLOGY	J. Neurosurg. Anesthesiol.	J Neurosurg Anesthesiol	"J Neurosurg Anesthesiol,2.957"
MAGNETIC RESONANCE IN MEDICINE	Magn. Reson. Med.	Magn Reson Med	"Magn Reson Med,3.858"
Clinical and Translational Gastroenterology	#N/A	Clinical And Translational Gastroenterology	"Clinical And Translational Gastroenterology,4.803"
JOURNAL OF POLITICAL ECONOMY	#N/A	J Polit Econ	"J Polit Econ,6.342"
MOLECULAR PHARMACOLOGY	Mol. Pharmacol.	Mol Pharmacol	"Mol Pharmacol,3.853"
ANNALS OF MATHEMATICS	#N/A	Ann Math	"Ann Math,4.165"
CNS Neuroscience & Therapeutics	CNS Neurosci. Ther.	CNS Neurosci Ther	"CNS Neurosci Ther,3.394"
PROGRESS IN AEROSPACE SCIENCES	#N/A	Prog Aerosp Sci	"Prog Aerosp Sci,6.814"
GLOBAL AND PLANETARY CHANGE	Global Planet. Change	Global Planet Change	"Global Planet Change,4.100"
JOURNAL OF IMMUNOTHERAPY	J. Immunother.	J Immunother	"J Immunother,3.455"
JOURNAL OF COMMUNICATION	J. Commun.	J Commun	"J Commun,3.753"
Journal of Proteomics	J. Proteomics	J Proteomics	"J Proteomics,3.537"
Reviews in Mineralogy & Geochemistry	#N/A	Reviews In Mineralogy & Geochemistry	"Reviews In Mineralogy & Geochemistry,8.745"
OCCUPATIONAL AND ENVIRONMENTAL MEDICINE	Occup. Environ. Med.	Occup Environ Med	"Occup Environ Med,3.556"
Child Development Perspectives	#N/A	Child Development Perspectives	"Child Development Perspectives,4.427"
Forensic Science International-Genetics	#N/A	Forensic Science International-Genetics	"Forensic Science International-Genetics,4.884"
LIVER TRANSPLANTATION	Liver Transpl.	Liver Transpl	"Liver Transpl,4.159"
Cell Division	Cell Div.	Cell Div	"Cell Div,4.056"
SURGERY	Surgery	Surgery	"Surgery,3.476"
FEBS Journal	FEBS J.	FEBS J	"FEBS J,4.739"
Annals of Clinical and Translational Neurology	#N/A	Annals Of Clinical And Translational Neurology	"Annals Of Clinical And Translational Neurology,4.656"
INTERNATIONAL JOURNAL OF ELECTRONIC COMMERCE	#N/A	Int J Electron Commer	"Int J Electron Commer,3.439"
INTERNATIONAL JOURNAL OF ELECTRONIC COMMERCE	#N/A	Int J Electron Commer	"Int J Electron Commer,3.439"
NEW ASTRONOMY REVIEWS	#N/A	New Astron Rev	"New Astron Rev,6.933"
RNA Biology	RNA Biol.	RNA Biol	"RNA Biol,5.477"
ECOLOGICAL INDICATORS	Ecol. Indicators	Ecol Indic	"Ecol Indic,4.490"
MOLECULAR MICROBIOLOGY	Mol. Microbiol.	Mol Microbiol	"Mol Microbiol,3.649"
CLINICAL ORTHOPAEDICS AND RELATED RESEARCH	Clin. Orthop. Relat. Res.	Clin Orthop Relat Res	"Clin Orthop Relat Res,4.154"
EXPERT OPINION ON PHARMACOTHERAPY	Expert Opin. Pharmacother.	Expert Opin Pharmacother	"Expert Opin Pharmacother,3.038"
Swarm and Evolutionary Computation	#N/A	Swarm And Evolutionary Computation	"Swarm And Evolutionary Computation,6.330"
Soft Matter	#N/A	Soft Matter	"Soft Matter,3.399"
AGRICULTURAL AND FOREST METEOROLOGY	#N/A	Agr Forest Meteorol	"Agr Forest Meteorol,4.189"
COLLOIDS AND SURFACES B-BIOINTERFACES	#N/A	Colloid Surface B	"Colloid Surface B,3.973"
ANALYST	Analyst	Analyst	"Analyst,4.019"
ACS Chemical Neuroscience	ACS Chem. Neurosci.	ACS Chem Neurosci	"ACS Chem Neurosci,3.861"
IEEE Systems Journal	#N/A	Ieee Systems Journal	"Ieee Systems Journal,4.463"
IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY	#N/A	Ieee Trans Control Syst Techn	"Ieee Trans Control Syst Techn,5.371"
PROGRESS IN PLANNING	#N/A	Prog Plann	"Prog Plann,3.875"
Expert Opinion on Drug Discovery	#N/A	Expert Opinion On Drug Discovery	"Expert Opinion On Drug Discovery,4.421"
ORGANIZATION & ENVIRONMENT	Organ. Environ.	Organ Environ	"Organ Environ,8.500"
BONE MARROW TRANSPLANTATION	Bone Marrow Transplant.	Bone Marrow Transplant	"Bone Marrow Transplant,4.674"
JOURNAL OF PEDIATRICS	J. Pediatr.	J Pediatr	"J Pediatr,3.739"
International Journal of Biological Sciences	Int. J. Biol. Sci.	Int J Biol Sci	"Int J Biol Sci,4.067"
Obesity	#N/A	Obesity	"Obesity,3.969"
Cell Adhesion & Migration	#N/A	Cell Adhesion & Migration	"Cell Adhesion & Migration,3.296"
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT	#N/A	Int J Inform Manage	"Int J Inform Manage,5.063"
Frontiers in Neuroinformatics	Front. Neuroinform.	Front Neuroinform	"Front Neuroinform,2.680"
JOURNAL OF PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS	J. Pharmacol. Exp. Ther.	J Pharmacol Exp Ther	"J Pharmacol Exp Ther,3.615"
Retrovirology	#N/A	Retrovirology	"Retrovirology,3.744"
CLINICAL NEUROPHYSIOLOGY	Clin. Neurophysiol.	Clin Neurophysiol	"Clin Neurophysiol,3.675"
PHOTOSYNTHESIS RESEARCH	Photosynthesis Res.	Photosynthesis Res	"Photosynthesis Res,3.057"
PSYCHOSOMATIC MEDICINE	Psychosom. Med.	Psychosom Med	"Psychosom Med,3.937"
PSYCHOSOMATIC MEDICINE	Psychosom. Med.	Psychosom Med	"Psychosom Med,3.937"
ORGANOMETALLICS	#N/A	Organometallics	"Organometallics,4.100"
Review of Environmental Economics and Policy	#N/A	Review Of Environmental Economics And Policy	"Review Of Environmental Economics And Policy,6.649"
AMERICAN JOURNAL OF PUBLIC HEALTH	Am. J. Public Health	Am J Public Health	"Am J Public Health,5.381"
AMERICAN JOURNAL OF PUBLIC HEALTH	Am. J. Public Health	Am J Public Health	"Am J Public Health,5.381"
COMPOSITE STRUCTURES	#N/A	Compos Struct	"Compos Struct,4.829"
TOXICOLOGY LETTERS	Toxicol. Lett.	Toxicol Lett	"Toxicol Lett,3.499"
JOURNAL OF SCIENCE AND MEDICINE IN SPORT	J. Sci. Med. Sport	J Sci Med Sport	"J Sci Med Sport,3.623"
CHEMICAL RECORD	#N/A	Chem Rec	"Chem Rec,5.387"
Biogeosciences	Biogeosciences	Biogeosciences	"Biogeosciences,3.951"
Cancer Management and Research	Cancer Manag. Res.	Cancer Manag Res	"Cancer Manag Res,2.243"
Expert Review of Proteomics	#N/A	Expert Rev Proteomics	"Expert Rev Proteomics,2.963"
PRECAMBRIAN RESEARCH	Precambrian Res.	Precambrian Res	"Precambrian Res,3.834"
RESPIRATORY RESEARCH	Respir. Res.	Respir Res	"Respir Res,3.829"
Educational Research Review	#N/A	Educational Research Review	"Educational Research Review,5.204"
JOURNAL OF ACCOUNTING & ECONOMICS	#N/A	J Account Econ	"J Account Econ,3.753"
PHYSICAL REVIEW B	#N/A	Phys Rev B	"Phys Rev B,3.736"
ENVIRONMENTAL RESEARCH	Environ. Res.	Environ Res	"Environ Res,5.026"
PLoS Neglected Tropical Diseases	PLoS Negl. Trop. Dis.	PLoS Negl Trop Dis	"PLoS Negl Trop Dis,4.487"
APOPTOSIS	Apoptosis	Apoptosis	"Apoptosis,4.021"
LANGMUIR	Langmuir	Langmuir	"Langmuir,3.683"
Educational Researcher	#N/A	Educational Researcher	"Educational Researcher,3.386"
EVOLUTIONARY COMPUTATION	Evol. Comput.	Evol Comput	"Evol Comput,3.469"
